date;tas;sfcwind;rlds;rsds;huss;uas;vas
1992-01-12;-0.497601969148036;5.941102620909934;249.8920847775118;90.10622944670403;3.5478005139544693;3.599473066721698;3.1676061560965234
1992-01-13;0.6625348986952986;8.89461989226615;293.8490340138909;50.428164244128006;4.177617816871133;5.2201425630173315;7.003917265825294
1992-01-14;-0.6359883559408104;9.082604810466524;259.0665391871408;60.64340481100693;3.5698332182605372;7.628191322810477;3.3869898212484655
1992-01-15;-0.8727233409605901;5.503366907722863;285.27857367030555;49.35856914388402;3.4218851860196553;3.78616582786468;3.518883985517233
1992-01-16;3.0289481156937654;5.886662751599172;324.72202298016526;21.93050616468312;5.2956585606544335;3.638553167894394;3.297704815675623
1992-01-17;4.002409616593468;5.047744794436929;336.2500369585838;10.469155770725424;5.640509083765432;3.4077985771128776;2.94355331159263
1992-01-18;3.634902102399167;10.188762089840527;321.400204863965;22.27221626060488;5.287330204457688;6.732352247642468;5.767956473688176
1992-01-19;0.2535555987648195;4.381562706964339;257.5892973425292;105.36905915887803;3.5879907465008536;2.575083670175827;0.4205985513768469
1992-01-20;2.2639244517650923;8.742026031759373;287.12266353697913;65.9903372483324;4.515233542197323;6.139614887013287;5.802198030441529
1992-01-21;2.4381250821776916;6.223960150212025;296.5303858102572;51.73612192971777;4.654723694699909;4.511050595340843;4.091405899884292
1992-01-22;4.524253202279624;7.589280656991984;317.53528811339254;43.886086172574295;5.275972366095067;5.016904393671064;5.027415355999459
1992-01-23;3.9774783408510075;6.014544464980812;295.79075069057143;94.34879666405372;5.088219444114866;4.446319504064317;3.823103848391031
1992-01-24;0.9460204561617616;5.577240315066944;282.78469236477156;85.97234284583634;4.135595803824556;1.3560952487077949;0.3649447366776194
1992-01-25;-3.5160321520364732;5.343777363255844;252.48879333030948;73.05557397628061;2.578335695944201;-1.1794179049704916;-4.604125641826211
1992-01-26;-5.685717277207402;5.321360457967034;221.56201601801632;101.70017453234635;1.6766293050441656;-3.4450467389109467;-3.9874807739715092
1992-01-27;2.5379571904583145;6.224423148996584;327.128754795517;19.48891562272845;4.678727261731466;4.131289454570898;4.201297194133845
1992-01-28;4.5345227431813555;6.600472935804258;316.46413592311103;49.12173286676283;5.42092734433061;4.432272452816484;4.2903759873116005
1992-01-29;1.3565194069002473;8.00377156103734;256.7969541033581;94.67030102115558;3.9628583682272116;6.424537602110822;-0.06686647373238741
1992-01-30;0.0936112579232713;5.470224052942883;277.8029723376895;57.98217657942133;3.8025038907693873;4.911227385829686;-0.20275534644575166
1992-01-31;0.7043050570737819;6.463279790821641;303.7002021018859;62.259000562858084;4.057115911324448;4.071712323665192;4.472406229096671
1992-02-01;2.93626696509574;8.243731306247723;320.92761280278734;25.700456906258076;5.076883521548374;5.098648894747816;6.293348742343244
1992-02-02;0.18589332896823407;4.876738331257798;260.68740728729927;97.09710797992346;3.712679476796664;4.312574132425145;0.8905678964569399
1992-02-03;-1.002071840936992;5.119277782682333;278.4038636882689;65.63555085155654;3.4624188517356567;4.109874122707465;2.4279914915108014
1992-02-04;-2.294654558683362;7.353697289730068;237.56158481914005;98.74796510215829;3.084251748848274;6.201636509910734;-1.439348360215955
1992-02-05;-6.009002793882473;3.9681847837837014;235.81391124647996;81.2896404494104;2.153357657101886;3.0323145794524082;-2.07214632447295
1992-02-06;-3.6797926947461406;5.639344007450186;265.57271230551413;55.385672103049075;2.787044807082168;2.9690966686692843;0.935260518787555
1992-02-07;-9.992422377277592;11.819334939318278;208.64216903395774;135.72541384623995;1.7223197964441608;-7.776391544038069;-7.344984212046567
1992-02-08;-12.145792465716738;10.357021208072625;162.43742498298784;148.8591210876477;1.2389169628582926;-7.635057403178065;-7.677745867808504
1992-02-09;-5.260574367574918;6.27273459968283;248.27770057194292;87.27599205993596;2.2138803062949526;3.0014920029885284;3.287075565802309
1992-02-10;-0.26983356100822675;8.799847955150204;284.49567422704104;88.4067104713828;3.735937234177658;5.706325137884511;6.164368371018024
1992-02-11;-0.01466587770590877;10.599528484870497;258.6326999046597;133.79874694541599;3.8948507682680766;9.2364615188507;4.554052914487285
1992-02-12;-1.5475014952920674;8.142067486099613;249.7250757307232;115.92930003107723;3.354142340466463;6.389696088291547;4.3611866587550026
1992-02-13;-0.8337717623458047;8.065910264693098;253.84847603807086;142.7010177131307;3.628155279803232;6.049306280061868;3.1279730090478246
1992-02-14;0.2933935372948895;10.624709110150917;292.0293621134465;93.84766423641696;4.080482223145303;7.212422634443469;6.520064446132212
1992-02-15;-0.42633386980554633;9.271054375871877;242.9756408482815;124.0353341095607;3.8209120995034116;8.300390757635034;2.5833222457409635
1992-02-16;-0.8640208184015705;9.359842704976504;266.93544639396487;125.24770592288017;3.64843361683528;5.4336836763552965;4.876450970554838
1992-02-17;-3.337938168444964;5.61257159151653;264.54304235256024;98.19457148405047;2.8263300517345646;0.06402909873702439;-4.217603038121871
1992-02-18;-2.7282634597978017;3.373831232342132;250.93160666133213;132.18162295871917;2.679833814164195;1.9120591195659213;-0.7293239677348187
1992-02-19;1.8051807903253234;7.470188472130986;319.41968696213;25.36923713554806;4.649766720301495;4.915892476462437;5.327300341351623
1992-02-20;-0.4119084132373132;6.180511645044095;274.10596061193934;97.66380902026596;3.63873962854654;5.00618626676043;2.8250360571164963
1992-02-21;1.4018611156233192;8.061590763769235;286.6917800429572;118.16558719398734;4.3622602475897665;5.393677042893218;3.8758522534758826
1992-02-22;1.9789217184156769;6.989919681041636;318.1716609743104;36.78537948723852;4.678440013233075;3.94906193876514;5.432629726688141
1992-02-23;1.5483925167557686;8.36903553363905;300.27020017294717;90.21671958300847;4.392440927774967;5.291096680068596;6.74711341888859
1992-02-24;-2.1716811670235074;5.513638254610626;236.10555132820832;173.2575374794805;2.9538882800829036;3.319428352455006;2.531693980131351
1992-02-25;-1.7925942658373515;8.352874835844759;270.36117090267396;121.33580171133656;3.1837377780896845;4.176514835499781;6.658349737285542
1992-02-26;-1.8529723494523296;7.948256234816603;261.57984558401046;91.6169298847711;3.3067175911257793;2.020443986701264;-2.148889059064998
1992-02-27;-5.642489993617971;3.9821401665126954;208.26493825100073;159.41817404139377;2.146138819538929;1.649697555921568;-1.2255000804201073
1992-02-28;-2.7141357563659767;7.480067883085087;270.72462695110397;131.14465171949843;2.9254453286274287;4.513423295036291;5.488124615495995
1992-02-29;-0.37705385328797547;7.5645588517659546;281.12725620545154;128.56852628399125;3.818695406066623;5.212256009225689;5.511208367316948
1992-03-01;-4.3477955351402215;3.510187685513431;232.8855594463405;163.08118871474187;2.6530416191590014;2.5351086369125992;-0.05786269743153638
1992-03-02;-5.056934230130878;2.1956617514438217;217.64147691137663;164.2184310018658;1.9625859980889484;-0.31368423026276887;-1.0982267755327815
